,Id,LotArea,YearBuilt,YearRemodAdd,LotFrontage,Utilities,OverallQual,OverallCond,ExterQual,ExterCond,MoSold,YrSold,MiscVal
91,92,8500,1961,1961,85.0,AllPub,5,3,TA,TA,12,2006,0
92,93,13360,1921,2006,80.0,AllPub,5,7,TA,Gd,8,2009,0
93,94,7200,1910,1998,60.0,AllPub,6,6,TA,TA,11,2007,0
94,95,9337,1997,1997,69.0,AllPub,6,5,TA,Gd,5,2007,0
95,96,9765,1993,1993,,AllPub,6,8,Ex,Gd,4,2009,480
96,97,10264,1999,1999,78.0,AllPub,7,5,Gd,TA,8,2006,0
97,98,10921,1965,1965,73.0,AllPub,4,5,TA,TA,5,2007,0
98,99,10625,1920,1950,85.0,AllPub,5,5,TA,TA,5,2010,400
99,100,9320,1959,1959,77.0,AllPub,4,5,TA,TA,1,2010,400
100,101,10603,1977,2001,,AllPub,6,7,TA,TA,2,2010,0
101,102,9206,1985,1985,77.0,AllPub,6,5,Gd,TA,6,2010,0
102,103,7018,1979,1979,64.0,AllPub,5,5,TA,Fa,6,2009,0
103,104,10402,2009,2009,94.0,AllPub,7,5,TA,TA,5,2010,0
104,105,7758,1931,1950,,AllPub,7,4,TA,Fa,6,2007,0
105,106,9375,2003,2004,75.0,AllPub,8,5,Gd,TA,8,2008,0
106,107,10800,1885,1995,60.0,AllPub,4,7,TA,TA,8,2007,450
107,108,6000,1948,1950,50.0,AllPub,5,5,TA,TA,4,2008,0
108,109,8500,1919,2005,85.0,AllPub,5,7,TA,TA,8,2007,0
109,110,11751,1977,1977,105.0,AllPub,6,6,TA,TA,1,2010,0
110,111,9525,1954,1972,75.0,AllPub,6,4,TA,TA,10,2006,0
111,112,7750,2000,2000,,AllPub,7,5,TA,TA,4,2010,0
112,113,9965,2007,2007,77.0,AllPub,7,5,Gd,TA,10,2007,0
113,114,21000,1953,1953,,AllPub,6,5,TA,Gd,10,2007,0
114,115,7259,1945,2002,61.0,AllPub,6,8,TA,TA,7,2007,0
115,116,3230,1999,1999,34.0,AllPub,6,5,TA,TA,6,2007,0
116,117,11616,1962,1962,,AllPub,5,5,TA,TA,9,2009,0
117,118,8536,2006,2007,74.0,AllPub,5,5,TA,TA,4,2007,0
118,119,12376,1990,1990,90.0,AllPub,7,5,TA,TA,5,2010,0
119,120,8461,2005,2006,65.0,AllPub,6,5,Gd,TA,7,2006,0
120,121,21453,1969,1969,,AllPub,6,5,TA,TA,10,2006,0
121,122,6060,1939,1950,50.0,AllPub,4,5,TA,TA,6,2007,0
122,123,9464,1958,1958,75.0,AllPub,6,7,TA,Gd,6,2008,0
123,124,7892,1993,1993,55.0,AllPub,6,5,Gd,TA,3,2008,0
124,125,17043,1979,1998,48.0,AllPub,6,5,TA,Gd,1,2009,0
125,126,6780,1935,1982,60.0,AllPub,6,8,TA,Fa,6,2006,0
126,127,4928,1976,1976,,AllPub,6,5,TA,TA,2,2007,0
127,128,4388,1930,1950,55.0,AllPub,5,7,TA,Gd,6,2007,0
128,129,7590,1966,1966,69.0,AllPub,6,5,TA,TA,7,2006,0
129,130,8973,1958,1991,69.0,AllPub,5,7,TA,TA,7,2006,0
130,131,14200,1966,1966,88.0,AllPub,7,6,TA,TA,5,2006,0
131,132,12224,2000,2000,,AllPub,6,5,Gd,TA,7,2009,0
132,133,7388,1959,2002,75.0,AllPub,5,6,TA,TA,7,2007,0
133,134,6853,2001,2002,,AllPub,8,5,Gd,TA,6,2009,0
134,135,10335,1968,1993,78.0,AllPub,5,6,TA,TA,7,2006,0
135,136,10400,1970,1970,80.0,AllPub,7,6,TA,TA,5,2008,0
136,137,10355,1967,1967,,AllPub,5,5,TA,TA,7,2007,0
137,138,11070,1988,1989,82.0,AllPub,7,5,TA,TA,7,2006,0
138,139,9066,1999,2000,73.0,AllPub,8,5,Gd,TA,12,2008,0
139,140,15426,1997,1997,65.0,AllPub,6,5,TA,TA,8,2009,0
140,141,10500,1971,1971,70.0,AllPub,4,5,TA,TA,4,2010,0
141,142,11645,2005,2005,78.0,AllPub,7,5,Gd,TA,1,2006,0
142,143,8520,1952,1952,71.0,AllPub,5,4,TA,Fa,6,2010,0
143,144,10335,1999,1999,78.0,AllPub,7,5,Gd,TA,6,2009,0
144,145,9100,1963,1963,70.0,AllPub,5,5,TA,TA,11,2006,0
145,146,2522,2004,2006,24.0,AllPub,6,5,Gd,TA,4,2006,0
146,147,6120,1931,1993,51.0,AllPub,5,7,TA,TA,11,2009,0
147,148,9505,2001,2001,,AllPub,7,5,Gd,TA,5,2010,0
148,149,7500,2004,2005,63.0,AllPub,7,5,TA,TA,4,2008,0
149,150,6240,1936,1950,,AllPub,5,4,TA,TA,4,2006,0
150,151,10356,1975,1975,120.0,AllPub,5,6,TA,TA,1,2007,0
151,152,13891,2007,2008,107.0,AllPub,8,5,Gd,TA,1,2008,0
152,153,14803,1971,1971,,AllPub,6,5,TA,TA,6,2006,0
153,154,13500,1960,1975,,AllPub,6,7,TA,TA,3,2008,0
154,155,11340,1923,1950,84.0,AllPub,6,5,TA,TA,3,2006,0
155,156,9600,1924,1950,60.0,AllPub,6,5,TA,TA,4,2008,0
156,157,7200,1950,1950,60.0,AllPub,5,7,TA,TA,6,2006,0
157,158,12003,2009,2010,92.0,AllPub,8,5,Gd,TA,5,2010,0
158,159,12552,2004,2005,100.0,AllPub,7,5,Gd,TA,5,2010,0
159,160,19378,2005,2006,134.0,AllPub,7,5,Gd,TA,3,2006,0
160,161,11120,1984,1984,,AllPub,6,6,TA,TA,6,2008,0
161,162,13688,2003,2004,110.0,AllPub,9,5,Gd,TA,3,2008,0
162,163,12182,2005,2005,95.0,AllPub,7,5,Gd,TA,5,2010,0
163,164,5500,1956,1956,55.0,AllPub,4,6,TA,TA,4,2007,0
164,165,5400,1926,2004,40.0,AllPub,6,7,TA,Gd,10,2007,0
165,166,10106,1940,1999,62.0,AllPub,5,7,TA,Gd,9,2008,0
166,167,10708,1955,1993,,AllPub,5,5,Gd,TA,11,2009,0
167,168,10562,2007,2007,86.0,AllPub,8,5,Gd,TA,11,2007,0
168,169,8244,2004,2004,62.0,AllPub,7,5,Gd,TA,5,2007,0
169,170,16669,1981,1981,,AllPub,8,6,Gd,TA,1,2006,0
170,171,12358,1941,1950,,AllPub,5,6,TA,TA,5,2007,0
171,172,31770,1960,1960,141.0,AllPub,6,5,TA,TA,5,2010,0
172,173,5306,1987,1987,44.0,AllPub,7,7,Gd,Gd,6,2006,0
173,174,10197,1961,1961,80.0,AllPub,6,5,TA,TA,6,2008,0
174,175,12416,1986,1986,47.0,AllPub,6,5,TA,TA,11,2008,0
175,176,12615,1950,2001,84.0,AllPub,6,7,TA,TA,6,2007,0
176,177,10029,1988,1989,97.0,AllPub,6,5,Gd,TA,9,2007,0
177,178,13650,1958,1958,,AllPub,5,5,Gd,Gd,7,2006,0
178,179,17423,2008,2009,63.0,AllPub,9,5,Ex,TA,7,2009,0
179,180,8520,1923,2006,60.0,AllPub,5,6,Gd,TA,7,2007,0
180,181,2117,2000,2000,,AllPub,6,5,Gd,TA,6,2007,0
181,182,7588,1920,1950,54.0,AllPub,7,6,TA,TA,7,2006,0
182,183,9060,1957,2006,60.0,AllPub,5,6,TA,TA,6,2007,0
183,184,11426,2003,2003,63.0,AllPub,7,5,TA,TA,6,2008,0
184,185,7438,1908,1991,92.0,AllPub,5,8,TA,TA,6,2006,0
185,186,22950,1892,1993,90.0,AllPub,10,9,Gd,Gd,6,2006,0
186,187,9947,1990,1991,,AllPub,7,5,TA,TA,6,2009,0
187,188,10410,1916,1987,60.0,AllPub,5,7,TA,TA,8,2009,0
188,189,7018,1979,1979,64.0,AllPub,5,5,TA,TA,6,2009,0
189,190,4923,2001,2002,41.0,AllPub,8,5,Gd,TA,8,2008,0
190,191,10570,1932,1994,70.0,AllPub,8,8,Gd,TA,12,2007,0
191,192,7472,1972,2004,,AllPub,7,9,TA,TA,6,2007,0
192,193,9017,1999,1999,68.0,AllPub,7,5,Gd,TA,9,2009,0
193,194,2522,2004,2004,24.0,AllPub,7,5,Gd,TA,5,2006,0
194,195,7180,1972,1972,60.0,AllPub,5,7,TA,TA,5,2008,0
195,196,2280,1976,1976,24.0,AllPub,6,6,TA,TA,7,2009,0
196,197,9416,2007,2007,79.0,AllPub,7,5,Ex,TA,9,2007,0
197,198,25419,1918,1990,174.0,AllPub,8,4,Gd,Gd,3,2006,0
198,199,5520,1912,1950,92.0,AllPub,6,6,TA,TA,7,2009,0
199,200,9591,2004,2005,76.0,AllPub,8,5,Gd,TA,1,2009,0
200,201,8546,2003,2004,80.0,AllPub,4,5,TA,TA,3,2010,0
201,202,10125,1977,1977,75.0,AllPub,6,6,TA,TA,2,2008,0
202,203,7000,1924,1950,50.0,AllPub,6,6,TA,Gd,5,2006,0
203,204,4438,2004,2004,,AllPub,6,5,Gd,TA,1,2008,0
204,205,3500,1947,1950,50.0,AllPub,5,7,TA,TA,4,2009,0
205,206,11851,1990,1990,99.0,AllPub,7,5,TA,TA,5,2009,0
206,207,13673,1962,1962,40.0,AllPub,5,5,TA,Gd,3,2007,0
207,208,12493,1960,1960,,AllPub,4,5,TA,TA,4,2008,0
208,209,14364,1988,1989,,AllPub,7,5,Gd,TA,4,2007,0
209,210,8250,1964,1964,75.0,AllPub,6,7,TA,TA,7,2008,0
210,211,5604,1925,1950,67.0,AllPub,5,6,TA,TA,4,2008,0
211,212,10420,2009,2009,83.0,AllPub,6,5,TA,TA,3,2010,0
212,213,8640,2009,2009,72.0,AllPub,7,5,TA,TA,7,2009,0
213,214,13568,1995,1995,43.0,AllPub,5,5,TA,TA,7,2006,0
214,215,10900,1977,1977,,AllPub,6,7,TA,TA,3,2010,450
215,216,10011,1957,1996,72.0,AllPub,5,6,TA,TA,5,2006,0
216,217,8450,2004,2004,65.0,AllPub,7,5,Gd,TA,4,2008,0
217,218,9906,1925,1950,57.0,AllPub,4,4,TA,TA,9,2006,0
218,219,15660,1939,2006,,AllPub,7,9,Gd,Gd,5,2008,0
219,220,3010,2005,2006,43.0,AllPub,7,5,Gd,TA,3,2006,0
220,221,8990,2006,2006,73.0,AllPub,7,5,Gd,TA,4,2006,0
221,222,8068,2002,2002,,AllPub,6,5,Gd,TA,12,2009,0
222,223,11475,1975,1975,85.0,AllPub,6,6,TA,TA,2,2006,0
223,224,10500,1971,1971,70.0,AllPub,4,6,TA,TA,3,2009,0
224,225,13472,2003,2003,103.0,AllPub,10,5,Ex,TA,6,2009,0
225,226,1680,1971,1971,21.0,AllPub,5,5,TA,TA,5,2009,0
226,227,9950,1995,1995,82.0,AllPub,7,5,Gd,TA,6,2007,0
227,228,1869,1970,1970,21.0,AllPub,6,6,TA,TA,9,2008,0
228,229,8521,1967,1967,70.0,AllPub,5,5,TA,TA,5,2010,0
229,230,3182,2005,2006,43.0,AllPub,7,5,Gd,TA,5,2009,0
230,231,8760,1959,1959,73.0,AllPub,6,6,TA,TA,4,2010,0
231,232,15138,1995,1996,174.0,AllPub,8,5,Gd,TA,7,2009,0
232,233,1680,1972,1972,21.0,AllPub,6,5,TA,TA,6,2006,0
233,234,10650,1976,1976,75.0,AllPub,5,6,TA,TA,2,2010,0
234,235,7851,2002,2002,,AllPub,6,5,Gd,TA,5,2010,0
235,236,1680,1971,1971,21.0,AllPub,6,3,TA,TA,8,2008,0
236,237,8773,2004,2004,65.0,AllPub,7,5,Gd,TA,5,2010,0
237,238,9453,1993,2003,,AllPub,7,7,Gd,TA,2,2010,0
238,239,12030,2007,2007,93.0,AllPub,8,5,Ex,TA,12,2007,0
239,240,8741,1945,1950,52.0,AllPub,6,4,TA,TA,4,2010,0
240,241,9000,2008,2008,75.0,AllPub,8,5,Gd,TA,4,2010,0
241,242,3880,1945,1997,40.0,AllPub,5,9,TA,Gd,8,2007,0
242,243,5000,1900,1950,63.0,AllPub,5,4,TA,TA,4,2006,0
243,244,10762,1980,1980,75.0,AllPub,6,6,TA,TA,4,2009,0
244,245,8880,1994,2002,,AllPub,7,5,Gd,TA,5,2010,0
245,246,10400,1988,1988,80.0,AllPub,7,5,TA,TA,6,2006,0
246,247,9142,1910,1950,69.0,AllPub,6,8,TA,Fa,4,2006,0
247,248,11310,1954,1954,75.0,AllPub,6,5,TA,TA,6,2006,0
248,249,11317,2003,2003,72.0,AllPub,7,5,Gd,TA,9,2007,0
249,250,159000,1958,2006,,AllPub,6,7,Gd,TA,6,2007,500
250,251,5350,1940,1966,55.0,AllPub,3,2,TA,Po,5,2010,450
251,252,4750,2006,2007,44.0,AllPub,8,5,Gd,TA,12,2007,0
252,253,8366,2004,2004,65.0,AllPub,6,5,Gd,TA,12,2008,0
253,254,9350,1964,1991,85.0,AllPub,6,7,TA,TA,10,2007,0
254,255,8400,1957,1957,70.0,AllPub,5,6,TA,Gd,6,2010,0
255,256,8738,1999,1999,66.0,AllPub,7,5,Gd,TA,2,2006,0
256,257,8791,2003,2003,64.0,AllPub,6,5,Gd,TA,5,2008,0
257,258,8814,2006,2006,68.0,AllPub,7,5,Gd,TA,3,2009,0
258,259,12435,2001,2001,80.0,AllPub,7,5,Gd,TA,5,2008,0
259,260,12702,1956,1956,70.0,AllPub,5,5,TA,TA,12,2008,0
260,261,19296,1962,1962,120.0,AllPub,6,5,TA,TA,5,2009,0
261,262,9588,2007,2007,69.0,AllPub,8,5,Gd,TA,11,2007,0
262,263,8471,1977,1995,88.0,AllPub,6,7,TA,TA,7,2006,0
263,264,5500,1929,2001,50.0,AllPub,5,7,TA,TA,4,2010,0
264,265,5232,1925,2004,30.0,AllPub,5,5,TA,TA,6,2008,0
265,266,12090,1981,1981,78.0,AllPub,6,6,TA,Gd,6,2008,0
266,267,11207,1997,1997,70.0,AllPub,6,5,TA,TA,6,2006,0
267,268,8400,1939,1997,60.0,AllPub,5,8,TA,TA,7,2008,0
268,269,6900,1940,1955,71.0,AllPub,5,6,TA,TA,2,2008,0
269,270,7917,1976,1976,,AllPub,6,7,TA,Gd,5,2007,0
270,271,10728,2006,2006,84.0,AllPub,8,5,Gd,TA,8,2006,0
271,272,39104,1954,2005,73.0,AllPub,7,7,TA,TA,4,2008,0
272,273,11764,1999,2007,92.0,AllPub,8,7,Gd,TA,4,2010,0
273,274,9600,1958,1988,80.0,AllPub,6,6,TA,TA,4,2009,0
274,275,8314,1982,1982,76.0,AllPub,5,7,TA,TA,6,2007,0
275,276,7264,1925,2007,55.0,AllPub,7,7,Gd,Gd,10,2009,0
276,277,9196,2003,2003,129.0,AllPub,7,5,Gd,TA,4,2010,0
277,278,19138,1951,1951,140.0,AllPub,4,5,TA,TA,6,2010,0
278,279,14450,2006,2007,107.0,AllPub,9,5,Ex,TA,5,2007,0
279,280,10005,1977,1977,83.0,AllPub,7,5,TA,TA,3,2008,0
280,281,11287,1989,1989,82.0,AllPub,7,6,Gd,TA,1,2007,0
281,282,7200,2006,2006,60.0,AllPub,6,5,Gd,TA,5,2006,0
282,283,5063,2007,2008,34.0,AllPub,7,5,Gd,TA,4,2009,0
283,284,9612,2008,2009,74.0,AllPub,8,5,Gd,TA,12,2009,0
284,285,8012,1992,1992,50.0,AllPub,6,5,Gd,TA,7,2007,0
285,286,4251,2006,2007,35.0,AllPub,7,5,Gd,TA,6,2007,0
286,287,9786,1962,1981,77.0,AllPub,6,7,TA,TA,6,2006,0
287,288,8125,1971,1971,,AllPub,4,4,TA,TA,6,2006,0
288,289,9819,1967,1967,,AllPub,5,5,TA,Gd,2,2010,0
289,290,8730,1915,2003,60.0,AllPub,6,7,TA,TA,7,2007,0
290,291,15611,2006,2006,120.0,AllPub,8,5,Gd,TA,7,2006,0
291,292,5687,1912,2000,55.0,AllPub,5,6,TA,Fa,3,2008,0
292,293,11409,1949,2008,60.0,AllPub,5,4,TA,TA,1,2009,0
293,294,16659,1977,1994,,AllPub,7,7,TA,TA,3,2006,0
294,295,9600,1953,1953,80.0,AllPub,6,5,TA,TA,10,2009,0
295,296,7937,1984,1984,37.0,AllPub,6,6,TA,TA,3,2006,0
296,297,13710,1950,1950,75.0,AllPub,5,5,TA,TA,6,2007,0
297,298,7399,1997,1998,66.0,AllPub,7,5,Gd,TA,6,2007,0
298,299,11700,1968,1968,90.0,AllPub,6,6,Gd,TA,6,2007,0
299,300,14000,1950,2004,80.0,AllPub,6,8,TA,Gd,8,2009,0
300,301,15750,1953,1953,90.0,AllPub,5,5,TA,TA,6,2006,0
301,302,16226,1998,1999,66.0,AllPub,8,5,Gd,TA,5,2007,0
302,303,13704,2001,2002,118.0,AllPub,7,5,Gd,TA,1,2006,0
303,304,9800,1972,1972,70.0,AllPub,5,7,TA,TA,7,2006,0
304,305,18386,1880,2002,87.0,AllPub,7,9,TA,TA,5,2008,0
305,306,10386,2004,2005,80.0,AllPub,8,5,Gd,TA,7,2007,0
306,307,13474,1990,1991,116.0,AllPub,7,5,Gd,TA,6,2007,0
307,308,7920,1920,1950,,AllPub,6,7,TA,Fa,3,2008,0
308,309,12342,1940,1950,,AllPub,4,5,TA,TA,3,2009,0
309,310,12378,2003,2004,90.0,AllPub,9,5,Gd,TA,11,2006,0
310,311,7685,1993,1994,,AllPub,6,5,TA,TA,5,2006,0
311,312,8000,1948,2002,50.0,AllPub,6,6,TA,Gd,5,2009,0
312,313,7800,1939,1950,65.0,AllPub,5,7,TA,TA,5,2006,0
313,314,215245,1965,1965,150.0,AllPub,7,5,TA,TA,6,2009,0
314,315,9600,1925,1990,60.0,AllPub,7,7,TA,TA,8,2006,0
315,316,7795,2004,2005,71.0,AllPub,7,5,Gd,TA,7,2009,0
316,317,13005,1980,1980,94.0,AllPub,7,7,Gd,TA,8,2009,0
317,318,9000,2006,2006,75.0,AllPub,8,5,Gd,TA,12,2007,0
318,319,9900,1993,1993,90.0,AllPub,7,5,Gd,TA,4,2009,0
319,320,14115,1980,1980,,AllPub,7,5,TA,TA,6,2009,0
320,321,16259,2006,2006,111.0,AllPub,9,5,TA,TA,9,2006,0
321,322,12099,2004,2004,99.0,AllPub,8,5,Gd,TA,6,2007,0
322,323,10380,1986,1987,86.0,AllPub,7,5,Gd,TA,8,2007,0
323,324,5820,1955,2005,49.0,AllPub,3,8,TA,Gd,7,2006,0
324,325,11275,1967,2007,96.0,AllPub,7,7,Gd,Gd,6,2010,0
325,326,5000,1941,1950,50.0,AllPub,5,6,TA,TA,12,2007,0
326,327,10846,1993,1993,32.0,AllPub,8,5,Gd,TA,5,2008,0
327,328,11600,1960,1960,80.0,AllPub,6,5,TA,TA,4,2006,0
328,329,11888,1916,1994,,AllPub,6,6,TA,TA,7,2009,0
329,330,6402,1920,1950,60.0,AllPub,5,5,TA,TA,7,2009,0
330,331,10624,1964,1964,,AllPub,5,4,TA,TA,11,2007,0
331,332,8176,1958,1992,70.0,AllPub,5,6,TA,TA,8,2007,0
332,333,10655,2003,2004,85.0,AllPub,8,5,Gd,TA,10,2009,0
333,334,8198,2004,2004,59.0,AllPub,7,5,Gd,TA,7,2008,0
334,335,9042,1998,1998,59.0,AllPub,6,5,TA,TA,7,2008,0
335,336,164660,1965,1965,,AllPub,5,6,TA,TA,8,2008,700
336,337,14157,2005,2006,86.0,AllPub,9,5,Gd,TA,7,2007,0
337,338,9135,2002,2003,70.0,AllPub,7,5,Gd,TA,12,2008,0
338,339,14145,1984,1998,91.0,AllPub,7,7,Gd,TA,5,2006,400
339,340,12400,1958,1998,66.0,AllPub,6,7,TA,TA,6,2009,0
340,341,14191,2002,2002,85.0,AllPub,8,5,Gd,TA,4,2010,0
341,342,8400,1950,1950,60.0,AllPub,4,4,Fa,Fa,9,2009,0
342,343,8544,1949,1950,,AllPub,3,4,TA,TA,5,2006,0
343,344,8849,2005,2005,63.0,AllPub,9,5,Ex,TA,7,2008,0
344,345,2592,1976,1976,36.0,AllPub,5,3,TA,TA,4,2010,0
345,346,6435,1939,1950,65.0,AllPub,6,5,TA,TA,10,2006,0
346,347,12772,1960,1998,,AllPub,6,8,TA,Gd,4,2007,15500
347,348,17600,1960,1960,,AllPub,6,5,TA,TA,12,2009,0
348,349,2448,2003,2004,36.0,AllPub,7,5,Gd,TA,10,2008,0
349,350,20431,2005,2006,56.0,AllPub,9,5,Ex,TA,4,2006,0
350,351,7820,2007,2007,68.0,AllPub,9,5,Ex,TA,12,2007,0
351,352,5271,1986,1986,,AllPub,7,5,TA,TA,12,2006,0
352,353,9084,1941,1950,60.0,AllPub,5,6,TA,TA,3,2008,0
353,354,8520,1928,2003,60.0,AllPub,6,8,TA,Gd,5,2010,0
354,355,8400,1940,2000,60.0,AllPub,6,5,TA,TA,6,2006,0
